Timestamp,Please enter your name,AWS knowledge,Are you more of a data scientist or a developer?,Machine learning knowledge
23/10/2019 00:00:00,Person 1,6,8,8
23/10/2019 00:00:00,Person 2,7,7,8
23/10/2019 00:00:00,Person 3,6,10,3
23/10/2019 00:00:00,Person 4,7,10,5
23/10/2019 00:00:00,Person 5,2,5,7
23/10/2019 00:00:00,Person 6,8,10,5
23/10/2019 00:00:00,Person 7,3,10,1
23/10/2019 00:00:00,Person 8,2,8,5
23/10/2019 00:00:00,Person 9,6,7,4
23/10/2019 00:00:00,Person 10,1,8,2
23/10/2019 00:00:00,Person 11,5,2,4
23/10/2019 00:00:00,Person 12,3,2,6
23/10/2019 00:00:00,Person 13,3,9,3
23/10/2019 00:00:00,Person 14,4,5,6
23/10/2019 00:00:00,Person 15,7,8,1
23/10/2019 00:00:00,Person 16,4,5,1
23/10/2019 00:00:00,Person 17,2,9,2
23/10/2019 00:00:00,Person 18,1,5,3
23/10/2019 00:00:00,Person 19,7,6,5
23/10/2019 00:00:00,Person 20,4,4,6
23/10/2019 00:00:00,Person 21,5,5,4
23/10/2019 00:00:00,Person 22,2,7,1
23/10/2019 00:00:00,Person 23,3,9,1
23/10/2019 00:00:00,Person 24,2,3,4
23/10/2019 00:00:00,Person 25,7,8,6
23/10/2019 00:00:00,Person 26,4,1,2
23/10/2019 00:00:00,Person 27,2,1,1
